_id,GRUPOSERVICO_CODIGO,GRUPOSERVICO_DESCRICAO,SERVICO_CODIGO,SERVICO_DESCRICAO,LOGRADOURO,NUMERO,BAIRRO,RPA,DATA_DEMANDA,SITUACAO,DATA_ULT_SITUACAO
1,7,ARBORIZA플O,8,PODA DE ARVORES,1TR  ESTRADA DO PASSARINHO,125,DOIS IRMAOS,3,2018-04-05T00:00:00,ATENDIDA,2018-09-24T00:00:00
2,7,ARBORIZA플O,8,PODA DE ARVORES,1TR DR TOME DIAS,S/N,CASA AMARELA,3,2018-12-26T00:00:00,ATENDIDA,2018-12-26T00:00:00
3,7,ARBORIZA플O,8,PODA DE ARVORES,1TR PRINCIPE BEIRA,10,ESTANCIA,5,2018-12-05T00:00:00,ATENDIDA,2019-01-02T00:00:00
4,7,ARBORIZA플O,8,PODA DE ARVORES,1TR PRINCIPE BEIRA,32,JIQUIA,5,2018-07-10T00:00:00,ATENDIDA,2018-08-27T00:00:00
5,7,ARBORIZA플O,8,PODA DE ARVORES,1TR SANTA LUCIA,337 A,IPUTINGA,4,2018-09-19T00:00:00,ATENDIDA,2018-10-19T00:00:00
6,7,ARBORIZA플O,8,PODA DE ARVORES,2TR  ARNALDO PAES DE ANDRADE,75,DOIS IRMAOS,3,2018-07-24T00:00:00,ATENDIDA,2018-08-08T00:00:00
7,7,ARBORIZA플O,8,PODA DE ARVORES,AV  AFONSO OLINDENSE,1946,VARZEA,4,2018-09-19T00:00:00,PENDENTE,2018-09-19T00:00:00
8,7,ARBORIZA플O,8,PODA DE ARVORES,AV  AFONSO OLINDENSE,S/N,VARZEA,4,2018-08-23T00:00:00,ATENDIDA,2018-08-23T00:00:00
9,7,ARBORIZA플O,8,PODA DE ARVORES,AV  ANGRA DOS REIS,100,COHAB,6,2018-06-21T00:00:00,ATENDIDA,2018-07-19T00:00:00
10,7,ARBORIZA플O,8,PODA DE ARVORES,AV  ANGRA DOS REIS,S/N,COHAB,6,2018-08-17T00:00:00,ATENDIDA,2018-08-17T00:00:00
11,7,ARBORIZA플O,8,PODA DE ARVORES,AV  ANIBAL BENEVOLO,SN,AGUA FRIA,2,2018-01-17T00:00:00,ATENDIDA,2018-01-17T00:00:00
12,7,ARBORIZA플O,8,PODA DE ARVORES,AV  ARNALDO PAES DE ANDRADE,49,SITIO DOS PINTOS,3,2018-08-16T00:00:00,ATENDIDA,2018-08-24T00:00:00
13,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BEBERIBE,2201,AGUA FRIA,2,2018-07-04T00:00:00,EXECU플O,2018-07-04T00:00:00
14,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BEBERIBE,2278,AGUA FRIA,2,2018-09-03T00:00:00,EXECU플O,2018-09-03T00:00:00
15,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BEBERIBE,266,BEBERIBE,2,2018-09-05T00:00:00,ATENDIDA,2018-09-05T00:00:00
16,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BEBERIBE,2810,FUNDAO,2,2018-07-20T00:00:00,EXECU플O,2018-07-20T00:00:00
17,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BEBERIBE,310,ENCRUZILHADA,2,2018-02-28T00:00:00,ATENDIDA,2018-06-12T00:00:00
18,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BEBERIBE,3530,PORTO DA MADEIRA,2,2018-07-25T00:00:00,ATENDIDA,2018-08-07T00:00:00
19,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BEIRA RIO,00,ILHA DO RETIRO,4,2018-07-12T00:00:00,ATENDIDA,2018-08-23T00:00:00
20,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BEIRA RIO,00,MADALENA,4,2018-08-02T00:00:00,ATENDIDA,2018-08-09T00:00:00
21,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BEIRA RIO,00,TORRE,4,2018-09-13T00:00:00,ATENDIDA,2018-10-22T00:00:00
22,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BEIRA RIO,00,TORRE,4,2018-11-29T00:00:00,EXECU플O,2018-11-29T00:00:00
23,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BEIRA RIO,1041,TORRE,4,2018-08-22T00:00:00,ATENDIDA,2018-10-30T00:00:00
24,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BEIRA RIO,330,ILHA DO RETIRO,4,2018-02-21T00:00:00,ATENDIDA,2018-04-18T00:00:00
25,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BEIRA RIO,52,TORRE,4,2018-02-08T00:00:00,ATENDIDA,2018-10-30T00:00:00
26,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BEIRA RIO,660,MADALENA,4,2018-11-08T00:00:00,ATENDIDA,2018-12-20T00:00:00
27,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BEIRA RIO,771,MADALENA,4,2018-05-25T00:00:00,PENDENTE,2018-05-25T00:00:00
28,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BEIRA RIO,80,MADALENA,4,2018-08-16T00:00:00,ATENDIDA,2018-08-22T00:00:00
29,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BEIRA RIO,S/N,TORRE,4,2018-08-06T00:00:00,EXECU플O,2018-08-06T00:00:00
30,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BOA VIAGEM,1230,BOA VIAGEM,6,2018-06-27T00:00:00,ATENDIDA,2018-10-17T00:00:00
31,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BOA VIAGEM,2080,BOA VIAGEM,6,2018-06-06T00:00:00,ATENDIDA,2018-08-06T00:00:00
32,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BOA VIAGEM,2234,BOA VIAGEM,6,2018-09-27T00:00:00,EXECU플O,2018-09-27T00:00:00
33,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BOA VIAGEM,2290,BOA VIAGEM,6,2018-04-18T00:00:00,ATENDIDA,2018-06-15T00:00:00
34,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BOA VIAGEM,2290,BOA VIAGEM,6,2018-06-15T00:00:00,ATENDIDA,2018-09-27T00:00:00
35,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BOA VIAGEM,2294,BOA VIAGEM,6,2018-06-20T00:00:00,ATENDIDA,2018-09-27T00:00:00
36,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BOA VIAGEM,2294,BOA VIAGEM,6,2018-11-19T00:00:00,EXECU플O,2018-11-19T00:00:00
37,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BOA VIAGEM,2366,BOA VIAGEM,6,2018-09-18T00:00:00,EXECU플O,2018-09-18T00:00:00
38,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BOA VIAGEM,2514,BOA VIAGEM,6,2018-06-06T00:00:00,ATENDIDA,2018-07-03T00:00:00
39,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BOA VIAGEM,2682,BOA VIAGEM,6,2018-11-20T00:00:00,ATENDIDA,2018-12-10T00:00:00
40,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BOA VIAGEM,30,PINA,6,2018-03-15T00:00:00,ATENDIDA,2018-03-22T00:00:00
41,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BOA VIAGEM,3416,BOA VIAGEM,6,2018-10-31T00:00:00,ATENDIDA,2018-11-08T00:00:00
42,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BOA VIAGEM,3804,BOA VIAGEM,6,2018-12-06T00:00:00,EXECU플O,2018-12-06T00:00:00
43,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BOA VIAGEM,4020,BOA VIAGEM,6,2018-03-15T00:00:00,EXECU플O,2018-03-15T00:00:00
44,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BOA VIAGEM,4610,BOA VIAGEM,6,2018-07-19T00:00:00,EXECU플O,2018-07-19T00:00:00
45,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BOA VIAGEM,5164,BOA VIAGEM,6,2018-06-04T00:00:00,EXECU플O,2018-06-04T00:00:00
46,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BOA VIAGEM,5526 B,BOA VIAGEM,6,2018-03-15T00:00:00,ATENDIDA,2018-06-20T00:00:00
47,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BOA VIAGEM,5802,BOA VIAGEM,6,2018-05-24T00:00:00,ATENDIDA,2018-07-13T00:00:00
48,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BOA VIAGEM,618,BOA VIAGEM,6,2018-06-01T00:00:00,PENDENTE,2018-06-01T00:00:00
49,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BOA VIAGEM,6732,BOA VIAGEM,6,2018-02-19T00:00:00,ATENDIDA,2018-06-15T00:00:00
50,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BOA VIAGEM,704,PINA,6,2018-03-22T00:00:00,ATENDIDA,2018-05-24T00:00:00
51,7,ARBORIZA플O,8,PODA DE ARVORES,AV  BOA VIAGEM,S/N,BOA VIAGEM,6,2018-12-20T00:00:00,ATENDIDA,2018-12-20T00:00:00
